fa fa-500px
faÿfa-file-image-o
faÿfa-file-movie-oÿ(alias)
faÿfa-file-pdf-o
faÿfa-file-photo-oÿ(alias)
faÿfa-file-picture-oÿ(alias)
faÿfa-file-powerpoint-o
faÿfa-file-sound-oÿ(alias)
faÿfa-file-video-o
faÿfa-file-word-o
faÿfa-file-zip-oÿ(alias)
faÿfa-film
faÿfa-filter
faÿfa-fire
faÿfa-fire-extinguisher
faÿfa-flag
faÿfa-flag-checkered
faÿfa-flag-o
faÿfa-flashÿ(alias)
faÿfa-flask
faÿfa-folder
faÿfa-folder-o
faÿfa-folder-open
faÿfa-folder-open-o
faÿfa-frown-o
faÿfa-futbol-o
faÿfa-gamepad
faÿfa-gavel
faÿfa-gearÿ(alias)
faÿfa-gearsÿ(alias)
faÿfa-gift
faÿfa-glass
faÿfa-globe
faÿfa-graduation-cap
faÿfa-groupÿ(alias)
faÿfa-hand-grab-oÿ(alias)
faÿfa-hand-lizard-o
faÿfa-hand-paper-o
faÿfa-hand-peace-o
faÿfa-hand-pointer-o
faÿfa-hand-rock-o
faÿfa-hand-scissors-o
faÿfa-hand-spock-o
faÿfa-hand-stop-oÿ(alias)
faÿfa-hdd-o
faÿfa-headphones
faÿfa-heart
faÿfa-heart-o
faÿfa-heartbeat
faÿfa-history
faÿfa-home
faÿfa-hotelÿ(alias)
faÿfa-hourglass
faÿfa-hourglass-1ÿ(alias)
faÿfa-hourglass-2ÿ(alias)
faÿfa-hourglass-3ÿ(alias)
faÿfa-hourglass-end
faÿfa-hourglass-half
faÿfa-hourglass-o
faÿfa-hourglass-start
faÿfa-i-cursor
faÿfa-imageÿ(alias)
faÿfa-inbox
faÿfa-industry
faÿfa-info
faÿfa-info-circle
faÿfa-institutionÿ(alias)
faÿfa-key
faÿfa-keyboard-o
faÿfa-language
faÿfa-laptop
faÿfa-leaf
faÿfa-legalÿ(alias)
faÿfa-lemon-o
faÿfa-level-down
faÿfa-level-up
faÿfa-life-bouyÿ(alias)
faÿfa-life-buoyÿ(alias)
faÿfa-life-ring
faÿfa-life-saverÿ(alias)
faÿfa-lightbulb-o
faÿfa-line-chart
faÿfa-location-arrow
faÿfa-lock
faÿfa-magic
faÿfa-magnet
faÿfa-mail-forwardÿ(alias)
faÿfa-mail-replyÿ(alias)
faÿfa-mail-reply-allÿ(alias)
faÿfa-male
faÿfa-map
faÿfa-map-marker
faÿfa-map-o
faÿfa-map-pin
faÿfa-map-signs
faÿfa-meh-o
faÿfa-microphone
faÿfa-microphone-slash
faÿfa-minus
faÿfa-minus-circle
faÿfa-minus-square
faÿfa-minus-square-o
faÿfa-mobile
faÿfa-mobile-phoneÿ(alias)
faÿfa-money
faÿfa-moon-o
faÿfa-mortar-boardÿ(alias)
faÿfa-motorcycle
faÿfa-mouse-pointer
faÿfa-music
faÿfa-naviconÿ(alias)
faÿfa-newspaper-o
faÿfa-object-group
faÿfa-object-ungroup
faÿfa-paint-brush
faÿfa-paper-plane
faÿfa-paper-plane-o
faÿfa-paw
faÿfa-pencil
faÿfa-pencil-square
faÿfa-pencil-square-o
faÿfa-phone
faÿfa-phone-square
faÿfa-photoÿ(alias)
faÿfa-picture-o
faÿfa-pie-chart
faÿfa-plane
faÿfa-plug
faÿfa-plus
faÿfa-plus-circle
faÿfa-plus-square
faÿfa-plus-square-o
faÿfa-power-off
faÿfa-print
faÿfa-puzzle-piece
faÿfa-qrcode
faÿfa-question
faÿfa-question-circle
faÿfa-quote-left
faÿfa-quote-right
faÿfa-random
faÿfa-recycle
faÿfa-refresh
faÿfa-registered
faÿfa-removeÿ(alias)
faÿfa-reorderÿ(alias)
faÿfa-reply
faÿfa-reply-all
faÿfa-retweet
faÿfa-road
faÿfa-rocket
faÿfa-rss
faÿfa-rss-square
faÿfa-search
faÿfa-search-minus
faÿfa-search-plus
faÿfa-sendÿ(alias)
faÿfa-send-oÿ(alias)
faÿfa-server
faÿfa-share
faÿfa-share-alt
faÿfa-share-alt-square
faÿfa-share-square
faÿfa-share-square-o
faÿfa-shield
faÿfa-ship
faÿfa-shopping-cart
faÿfa-sign-in
faÿfa-sign-out
faÿfa-signal
faÿfa-sitemap
faÿfa-sliders
faÿfa-smile-o
faÿfa-soccer-ball-oÿ(alias)
faÿfa-sort
faÿfa-sort-alpha-asc
faÿfa-sort-alpha-desc
faÿfa-sort-amount-asc
faÿfa-sort-amount-desc
faÿfa-sort-asc
faÿfa-sort-desc
faÿfa-sort-downÿ(alias)
faÿfa-sort-numeric-asc
faÿfa-sort-numeric-desc
faÿfa-sort-upÿ(alias)
faÿfa-space-shuttle
faÿfa-spinner
faÿfa-spoon
faÿfa-square
faÿfa-square-o
faÿfa-star
faÿfa-star-half
faÿfa-star-half-emptyÿ(alias)
faÿfa-star-half-fullÿ(alias)
faÿfa-star-half-o
faÿfa-star-o
faÿfa-sticky-note
faÿfa-sticky-note-o
faÿfa-street-view
faÿfa-suitcase
faÿfa-sun-o
faÿfa-supportÿ(alias)
faÿfa-tablet
faÿfa-tachometer
faÿfa-tag
faÿfa-tags
faÿfa-tasks
faÿfa-taxi
faÿfa-television
faÿfa-terminal
faÿfa-thumb-tack
faÿfa-thumbs-down
faÿfa-thumbs-o-down
faÿfa-thumbs-o-up
faÿfa-thumbs-up
faÿfa-ticket
faÿfa-times
faÿfa-times-circle
faÿfa-times-circle-o
faÿfa-tint
faÿfa-toggle-downÿ(alias)
faÿfa-toggle-leftÿ(alias)
faÿfa-toggle-off
faÿfa-toggle-on
faÿfa-toggle-rightÿ(alias)
faÿfa-toggle-upÿ(alias)
faÿfa-trademark
faÿfa-trash
faÿfa-trash-o
faÿfa-tree
faÿfa-trophy
faÿfa-truck
faÿfa-tty
faÿfa-tvÿ(alias)
faÿfa-umbrella
faÿfa-university
faÿfa-unlock
faÿfa-unlock-alt
faÿfa-unsortedÿ(alias)
faÿfa-upload
faÿfa-user
faÿfa-user-plus
faÿfa-user-secret
faÿfa-user-times
faÿfa-users
faÿfa-video-camera
faÿfa-volume-down
faÿfa-volume-off
faÿfa-volume-up
faÿfa-warningÿ(alias)
faÿfa-wheelchair
faÿfa-wifi
faÿfa-wrench
faÿfa-hand-grab-oÿ(alias)
faÿfa-hand-lizard-o
faÿfa-hand-o-down
faÿfa-hand-o-left
faÿfa-hand-o-right
faÿfa-hand-o-up
faÿfa-hand-paper-o
faÿfa-hand-peace-o
faÿfa-hand-pointer-o
faÿfa-hand-rock-o
faÿfa-hand-scissors-o
faÿfa-hand-spock-o
faÿfa-hand-stop-oÿ(alias)
faÿfa-thumbs-down
faÿfa-thumbs-o-down
faÿfa-thumbs-o-up
faÿfa-thumbs-up
fa fa-ambulance
faÿfa-automobileÿ(alias)
faÿfa-bicycle
faÿfa-bus
faÿfa-cabÿ(alias)
faÿfa-car
faÿfa-fighter-jet
faÿfa-motorcycle
faÿfa-plane
faÿfa-rocket
faÿfa-ship
faÿfa-space-shuttle
faÿfa-subway
faÿfa-taxi
faÿfa-train
faÿfa-truck
faÿfa-wheelchair
fa fa-file
faÿfa-file-archive-o
faÿfa-file-audio-o
faÿfa-file-code-o
faÿfa-file-excel-o
faÿfa-file-image-o
faÿfa-file-movie-oÿ(alias)
faÿfa-file-o
faÿfa-file-pdf-o
faÿfa-file-photo-oÿ(alias)
faÿfa-file-picture-oÿ(alias)
faÿfa-file-powerpoint-o
faÿfa-file-sound-oÿ(alias)
faÿfa-file-text
faÿfa-file-text-o
faÿfa-file-video-o
faÿfa-file-word-o
faÿfa-file-zip-oÿ(alias)
fa fa-circle-o-notch
faÿfa-cog
faÿfa-gearÿ(alias)
faÿfa-refresh
faÿfa-spinner
fa fa-check-square
faÿfa-check-square-o
faÿfa-circle
faÿfa-circle-o
faÿfa-dot-circle-o
faÿfa-minus-square
faÿfa-minus-square-o
faÿfa-plus-square
faÿfa-plus-square-o
faÿfa-square
faÿfa-square-o
fa fa-area-chart
faÿfa-bar-chart
faÿfa-bar-chart-oÿ(alias)
faÿfa-line-chart
faÿfa-pie-chart
fa fa-align-center
faÿfa-align-justify
faÿfa-align-left
faÿfa-align-right
faÿfa-bold
faÿfa-chainÿ(alias)
faÿfa-chain-broken
faÿfa-clipboard
faÿfa-columns
faÿfa-copyÿ(alias)
faÿfa-cutÿ(alias)
faÿfa-dedentÿ(alias)
faÿfa-eraser
faÿfa-file
faÿfa-file-o
faÿfa-file-text
faÿfa-file-text-o
faÿfa-files-o
faÿfa-floppy-o
faÿfa-font
faÿfa-header
faÿfa-indent
faÿfa-italic
faÿfa-link
faÿfa-list
faÿfa-list-alt
faÿfa-list-ol
faÿfa-list-ul
faÿfa-outdent
faÿfa-paperclip
faÿfa-paragraph
faÿfa-pasteÿ(alias)
faÿfa-repeat
faÿfa-rotate-leftÿ(alias)
faÿfa-rotate-rightÿ(alias)
faÿfa-saveÿ(alias)
faÿfa-scissors
faÿfa-strikethrough
faÿfa-subscript
faÿfa-superscript
faÿfa-table
faÿfa-text-height
faÿfa-text-width
faÿfa-th
faÿfa-th-large
faÿfa-th-list
faÿfa-underline
faÿfa-undo
faÿfa-unlinkÿ(alias)
faÿfa-arrows-alt
faÿfa-backward
faÿfa-compress
faÿfa-eject
faÿfa-expand
faÿfa-fast-backward
faÿfa-fast-forward
faÿfa-forward
faÿfa-pause
faÿfa-play
faÿfa-play-circle
faÿfa-play-circle-o
faÿfa-random
faÿfa-step-backward
faÿfa-step-forward
faÿfa-stop
faÿfa-youtube-play
fa fa-ambulance
faÿfa-h-square
faÿfa-heart
faÿfa-heart-o
faÿfa-heartbeat
faÿfa-hospital-o
faÿfa-medkit
faÿfa-plus-square
faÿfa-stethoscope
faÿfa-user-md
faÿfa-wheelchair
